P19T8,C,2014-09-08

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.034,350.000,150.000,351.000,154.000,0,0,13,400,0.000,0.660,0.604,3.150,restaurant
1,3.296,293.653,541.899,296.000,539.000,0,0,13,400,0.000,0.364,1.012,1.246,carnegie
2,2.932,458.128,181.749,463.000,183.000,0,0,13,400,0.000,0.420,0.619,0.648,friend
3,5.142,198.850,480.972,201.000,482.000,0,0,13,400,0.000,0.254,0.891,1.059,backpack
4,4.778,531.926,266.917,530.000,268.000,0,0,13,400,0.000,0.348,0.826,0.508,kettle
5,4.358,152.036,378.463,158.000,380.000,1,0,13,400,0.159,0.229,0.642,0.468,table
6,6.646,547.964,378.463,547.000,380.000,0,0,13,400,0.000,0.223,0.580,0.384,cafe
7,6.282,168.074,266.917,170.000,269.000,0,0,13,400,0.000,0.234,0.653,0.423,chair
8,5.862,501.150,480.972,502.000,480.000,0,0,13,400,0.000,0.273,0.501,0.691,scanner
9,5.608,241.872,181.749,243.000,187.000,0,0,13,400,0.000,0.236,0.658,2.705,restaurant
10,8.316,406.347,541.899,409.000,545.000,0,0,13,400,0.000,0.300,0.712,0.637,printer
11,7.952,350.000,150.000,353.000,153.000,0,0,13,400,0.000,0.183
