P2T6,B,2014-09-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.680,350.000,150.000,356.000,150.000,0,0,27,400,0.000,0.985,1.047,0.423,bring
1,1.445,293.653,541.899,299.000,536.000,0,0,27,400,0.000,0.273,0.696,0.541,gates
2,2.620,458.128,181.749,456.000,186.000,0,0,27,400,0.000,0.282,0.732,2.705,napkin
3,3.623,198.850,480.972,195.000,480.000,0,0,27,400,0.000,0.508,0.800,1.344,sheets
4,4.892,531.926,266.917,527.000,270.000,0,0,27,400,0.000,0.314,0.535,0.576,apple
5,5.766,152.036,378.463,143.000,376.000,0,0,27,400,0.000,0.285,0.691,0.516,tree
6,6.762,547.964,378.463,540.000,384.000,0,0,27,400,0.000,0.189,0.682,1.579,tissue
7,8.703,168.074,266.917,168.000,266.000,0,0,27,400,0.000,0.361,0.846,0.878,ceiling
8,9.601,501.150,480.972,508.000,483.000,0,0,27,400,0.000,0.326,0.756,0.719,napkin
9,10.709,241.872,181.749,236.000,182.000,0,0,27,400,0.000,0.422,0.761,1.167,university
10,11.718,406.347,541.899,406.000,531.000,0,0,27,400,0.000,0.370,0.860,0.384,you
11,12.774,350.000,150.000,352.000,158.000,0,0,27,400,0.000,1.336
