P2F7,B,2014-09-08

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.850,350.000,150.000,350.000,148.000,0,0,27,400,0.000,2.063,1.154,1.770,pittsburgh
1,2.907,293.653,541.899,295.000,534.000,0,0,27,400,0.000,0.780,1.251,2.534,pittsburgh
2,2.126,458.128,181.749,449.000,179.000,0,0,27,400,0.000,0.727,1.090,1.099,research
3,5.176,198.850,480.972,204.000,473.000,0,0,27,400,0.000,0.835,0.888,0.610,center
4,4.396,531.926,266.917,522.000,262.000,0,0,27,400,0.000,0.614,0.986,0.796,sheets
5,3.669,152.036,378.463,156.000,381.000,0,0,27,400,0.000,0.681,1.071,0.532,paper
6,7.093,547.964,378.463,542.000,379.000,0,0,27,400,0.000,0.807,1.031,0.109,her
7,6.312,168.074,266.917,164.000,266.000,0,0,27,400,0.000,0.685,1.056,2.422,government
8,5.585,501.150,480.972,490.000,483.000,0,0,27,400,0.000,0.747,1.548,0.830,fingers
9,4.750,241.872,181.749,237.000,186.000,0,0,27,400,0.000,1.857,0.940,0.989,avenue
10,8.602,406.347,541.899,401.000,542.000,0,0,27,400,0.000,0.988,1.021,1.939,microphone
11,7.822,350.000,150.000,346.000,154.000,0,0,27,400,0.000,2.177
