P2T8,A,2014-09-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.397,350.000,150.000,342.000,159.000,0,0,57,400,0.000,1.130,0.906,0.989,candle
1,1.390,293.653,541.899,297.000,540.000,0,0,57,400,0.000,0.343,0.736,0.645,mouse
2,2.216,458.128,181.749,447.000,180.000,0,0,57,400,0.000,0.271,0.682,2.284,friend
3,3.334,198.850,480.972,222.000,465.000,1,0,57,400,0.125,0.282,0.822,0.322,door
4,4.230,531.926,266.917,522.000,267.000,0,0,57,400,0.000,0.316,0.690,1.101,university
5,4.952,152.036,378.463,158.000,376.000,0,0,57,400,0.000,0.406,0.602,0.494,tree
6,6.058,547.964,378.463,548.000,390.000,0,0,57,400,0.000,0.184,0.718,0.721,tissue
7,6.839,168.074,266.917,191.000,260.000,0,0,57,400,0.000,0.254,0.751,0.376,male
8,7.598,501.150,480.972,499.000,469.000,0,0,57,400,0.000,0.282,0.751,0.274,him
9,8.554,241.872,181.749,238.000,191.000,0,0,57,400,0.000,0.404,0.793,0.548,gates
10,9.365,406.347,541.899,402.000,532.000,0,0,57,400,0.000,0.248,0.658,0.539,yahoo
11,10.476,350.000,150.000,336.000,160.000,0,0,57,400,0.000,0.364
