P21F1,A,2014-09-06

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,3.632,350.000,150.000,393.000,195.000,1,0,57,400,34.241,0.008,2.062,1.031,lamp
1,7.243,293.653,541.899,296.000,525.000,0,0,57,400,0.000,2.801,3.299,1.317,sheets
2,4.442,458.128,181.749,450.000,173.000,0,0,57,400,0.000,1.695,2.853,2.377,suitcase
3,10.636,198.850,480.972,190.000,486.000,0,0,57,400,0.000,1.734,3.200,4.951,flower
4,7.835,531.926,266.917,536.000,266.000,0,0,57,400,0.000,2.120,1.996,1.063,google
5,6.141,152.036,378.463,163.000,379.000,0,1,57,400,0.000,2.311,1.935,2.692,university
6,13.688,547.964,378.463,559.000,385.000,0,0,57,400,0.000,2.293,2.513,2.393,computer
7,10.887,168.074,266.917,170.000,278.000,0,0,57,400,0.000,1.461,1.752,1.346,fingers
8,9.192,501.150,480.972,214.000,289.000,1,0,57,400,317.410,3.030,1.798,0.795,paper
9,7.458,241.872,181.749,236.000,167.000,0,0,57,400,0.000,2.487,1.884,4.556,center
10,17.238,406.347,541.899,392.000,571.000,1,0,57,400,4.446,1.255,1.919,3.873,restaurant
11,14.437,350.000,150.000,428.000,648.000,1,0,57,400,476.071,2.058
