P21F4,B,2014-09-06

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.270,350.000,150.000,348.000,142.000,0,0,27,400,0.000,0.750,1.967,0.891,printer
1,3.607,293.653,541.899,303.000,533.000,0,0,27,400,0.000,0.819,1.234,2.925,you
2,2.788,458.128,181.749,457.000,186.000,0,0,27,400,0.000,0.849,1.014,0.622,door
3,6.448,198.850,480.972,199.000,478.000,0,0,27,400,0.000,1.447,1.177,0.827,melon
4,5.628,531.926,266.917,532.000,253.000,1,0,27,400,0.917,1.533,1.254,0.799,kettle
5,4.780,152.036,378.463,162.000,379.000,0,0,27,400,0.000,0.924,1.346,3.774,backpack
6,9.118,547.964,378.463,548.000,387.000,0,0,27,400,0.000,1.113,1.485,1.360,garbage
7,8.298,168.074,266.917,164.000,256.000,0,0,27,400,0.000,0.773,0.985,1.554,computer
8,7.449,501.150,480.972,490.000,440.000,1,0,27,400,29.462,0.841,1.148,7.546,friend
9,6.003,241.872,181.749,245.000,188.000,0,0,27,400,0.000,0.905,0.900,0.561,door
10,12.937,406.347,541.899,389.000,553.000,1,0,27,400,7.595,0.892,1.431,1.295,backpack
11,12.118,350.000,150.000,359.000,141.000,0,0,27,400,0.000,0.579
