P23M4,A,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.328,350.000,150.000,367.000,151.000,0,0,57,400,0.000,0.614,0.772,2.405,university
1,1.838,293.653,541.899,294.000,545.000,0,0,57,400,0.000,0.774,0.774,1.051,government
2,1.065,458.128,181.749,461.000,188.000,0,0,57,400,0.000,0.374,0.798,1.480,pittsburgh
3,3.069,198.850,480.972,193.000,481.000,0,0,57,400,0.000,0.489,0.678,1.237,microphone
4,2.296,531.926,266.917,536.000,263.000,0,0,57,400,0.000,0.364,0.667,0.676,scanner
5,1.922,152.036,378.463,145.000,387.000,0,0,57,400,0.000,0.392,0.784,1.511,female
6,4.111,547.964,378.463,565.000,384.000,0,0,57,400,0.000,0.280,0.626,0.513,candle
7,3.338,168.074,266.917,183.000,277.000,0,0,57,400,0.000,0.395,0.727,0.308,lamp
8,2.964,501.150,480.972,497.000,485.000,0,0,57,400,0.000,0.444,0.716,1.131,toothpaste
9,2.475,241.872,181.749,236.000,185.000,0,0,57,400,0.000,0.384,0.628,0.558,candle
10,5.029,406.347,541.899,413.000,547.000,0,0,57,400,0.000,0.365,0.657,0.519,melon
11,4.255,350.000,150.000,350.000,139.000,0,0,57,400,0.000,0.464
