P24F1   ,A,2014-09-15

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,2.434,350.000,150.000,140.000,439.000,1,0,57,400,329.241,0.918,3.300,5.988,candle
1,5.971,293.653,541.899,304.000,538.000,0,0,57,400,0.000,1.865,2.152,1.034,friend
2,4.105,458.128,181.749,457.000,196.000,0,0,57,400,0.000,1.746,2.124,0.888,tissue
3,9.580,198.850,480.972,284.000,414.000,1,0,57,400,80.332,1.467,1.970,0.931,bring
4,7.715,531.926,266.917,528.000,284.000,0,0,57,400,0.000,1.527,1.640,1.900,government
5,5.969,152.036,378.463,174.000,384.000,0,0,57,400,0.000,1.305,1.856,5.922,college
6,14.384,547.964,378.463,555.000,373.000,0,0,57,400,0.000,1.405,2.168,1.311,suitcase
7,12.519,168.074,266.917,162.000,269.000,0,0,57,400,0.000,1.243,1.985,3.800,melon
8,10.773,501.150,480.972,512.000,475.000,0,0,57,400,0.000,1.673,2.109,0.750,google
9,9.305,241.872,181.749,240.000,193.000,0,0,57,400,0.000,1.036,1.970,0.623,woods
10,16.898,406.347,541.899,414.000,537.000,0,0,57,400,0.000,1.173,1.605,1.209,fingers
11,15.033,350.000,150.000,344.000,151.000,0,0,57,400,0.000,1.345
