P27F1,C,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,3.365,350.000,150.000,353.000,154.000,0,0,13,400,0.000,1.389,2.730,0.723,center
1,33.599,293.653,541.899,279.000,563.000,1,0,13,400,19.690,2.962,2.655,0.982,mouse
2,30.637,458.128,181.749,457.000,182.000,0,0,13,400,0.000,2.416,2.606,3.232,backpack
3,38.902,198.850,480.972,444.000,324.000,1,0,13,400,285.099,2.911,2.035,1.054,yahoo
4,35.940,531.926,266.917,528.000,266.000,0,0,13,400,0.000,1.447,1.593,1.572,research
5,33.525,152.036,378.463,134.000,373.000,1,0,13,400,12.845,1.503,2.388,1.651,napkin
6,81.324,547.964,378.463,544.000,383.000,1,0,13,400,0.025,1.425,1.535,0.632,flower
7,78.362,168.074,266.917,157.000,283.000,1,0,13,400,13.527,1.072,1.552,2.248,ceiling
8,75.946,501.150,480.972,491.000,479.000,1,0,13,400,4.340,1.933,1.375,2.499,research
9,73.034,241.872,181.749,238.000,180.000,0,0,13,400,0.000,1.290,1.555,3.750,melon
10,83.879,406.347,541.899,410.000,544.000,0,0,13,400,0.000,1.300,1.487,1.294,college
11,80.917,350.000,150.000,353.000,151.000,0,0,13,400,0.000,1.237
