P28T7,C,2014-09-08

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,2.959,350.000,150.000,352.000,154.000,0,0,13,400,0.000,0.746,1.078,4.233,restaurant
1,6.028,293.653,541.899,296.000,545.000,0,0,13,400,0.000,0.603,1.243,1.554,towel
2,5.426,458.128,181.749,459.000,184.000,0,0,13,400,0.000,0.626,0.954,3.527,restaurant
3,10.697,198.850,480.972,200.000,479.000,0,0,13,400,0.000,0.555,1.202,1.734,kettle
4,10.095,531.926,266.917,531.000,269.000,0,0,13,400,0.000,0.806,1.050,1.309,table
5,9.469,152.036,378.463,154.000,376.000,0,0,13,400,0.000,0.536,1.102,2.201,suitcase
6,12.955,547.964,378.463,551.000,377.000,0,0,13,400,0.000,0.673,1.036,3.202,pittsburgh
7,12.352,168.074,266.917,170.000,270.000,0,0,13,400,0.000,0.588,1.184,1.381,flower
8,11.726,501.150,480.972,503.000,481.000,0,0,13,400,0.000,0.784,1.288,0.934,gates
9,11.172,241.872,181.749,244.000,186.000,0,0,13,400,0.000,0.657,1.175,1.401,kettle
10,15.462,406.347,541.899,408.000,546.000,0,0,13,400,0.000,0.886,0.987,1.230,mouse
11,14.859,350.000,150.000,351.000,151.000,0,0,13,400,0.000,0.585
