P28Test,B,2014-09-12

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,3.746,350.000,150.000,352.000,155.000,0,0,27,400,0.000,7.245,9.577,1.387,cafe
1,13.824,293.653,541.899,286.000,548.000,0,0,27,400,0.000,6.605,7.885,3.282,backpack
2,7.219,458.128,181.749,448.000,191.000,1,0,27,400,0.717,4.117,6.128,19.996,pittsburgh
3,24.312,198.850,480.972,190.000,485.000,0,1,27,400,0.000,0.057,13.699,1.400,tissue
4,17.707,531.926,266.917,529.000,268.000,0,0,27,400,0.000,5.413,16.590,6.698,him
5,13.590,152.036,378.463,151.000,380.000,0,0,27,400,0.000,3.918,7.362,1.687,chair
6,35.174,547.964,378.463,542.000,380.000,0,0,27,400,0.000,5.429,10.417,2.759,candle
7,28.569,168.074,266.917,164.000,275.000,0,0,27,400,0.000,4.911,4.480,1.746,paper
8,24.452,501.150,480.972,502.000,479.000,0,0,27,400,0.000,4.554,8.934,1.712,lamp
9,24.395,241.872,181.749,246.000,190.000,0,0,27,400,0.000,3.158,4.018,3.183,printer
10,44.039,406.347,541.899,414.000,547.000,0,0,27,400,0.000,9.657,3.893,2.374,table
11,37.433,350.000,150.000,341.000,156.000,0,0,27,400,0.000,2.929
