P2M5,A,2014-09-17

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.320,350.000,150.000,363.000,142.000,0,0,57,400,0.000,0.343,0.791,0.521,google
1,1.759,293.653,541.899,288.000,528.000,0,1,57,400,0.000,0.958,1.008,0.375,door
2,0.802,458.128,181.749,444.000,185.000,0,0,57,400,0.000,0.497,0.792,0.901,street
3,2.705,198.850,480.972,201.000,474.000,0,0,57,400,0.000,0.474,0.871,0.256,you
4,1.747,531.926,266.917,518.000,272.000,0,0,57,400,0.000,0.471,0.712,0.727,friend
5,1.251,152.036,378.463,141.000,394.000,0,0,57,400,0.000,0.440,0.767,1.000,carnegie
6,3.676,547.964,378.463,538.000,391.000,0,0,57,400,0.000,0.376,0.755,0.317,male
7,2.718,168.074,266.917,160.000,285.000,0,0,57,400,0.000,0.431,0.667,0.501,apple
8,2.221,501.150,480.972,489.000,494.000,0,0,57,400,0.000,0.367,0.780,0.494,table
9,1.747,241.872,181.749,232.000,162.000,0,0,57,400,0.000,0.405,0.808,0.372,paper
10,4.596,406.347,541.899,408.000,554.000,0,0,57,400,0.000,0.330,0.685,2.495,suitcase
11,3.638,350.000,150.000,362.000,160.000,0,0,57,400,0.000,0.414
