P30T4,A,2014-09-08

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.975,350.000,150.000,351.000,146.000,0,0,57,400,0.000,1.239,0.747,3.593,candle
1,2.425,293.653,541.899,307.000,531.000,0,0,57,400,0.000,0.455,0.884,3.579,government
2,1.970,458.128,181.749,450.000,195.000,0,0,57,400,0.000,0.434,0.734,4.697,backpack
3,3.954,198.850,480.972,200.000,469.000,0,0,57,400,0.000,0.554,0.646,1.627,woods
4,3.499,531.926,266.917,539.000,270.000,0,0,57,400,0.000,0.445,0.752,0.235,her
5,3.065,152.036,378.463,149.000,382.000,0,0,57,400,0.000,0.346,0.732,0.529,yahoo
6,5.339,547.964,378.463,541.000,364.000,0,0,57,400,0.000,0.486,0.766,1.567,garbage
7,4.884,168.074,266.917,169.000,268.000,0,0,57,400,0.000,0.466,0.698,1.029,paper
8,4.450,501.150,480.972,514.000,490.000,0,0,57,400,0.000,0.466,0.700,3.403,female
9,3.895,241.872,181.749,263.000,186.000,0,0,57,400,0.000,0.484,0.721,1.241,sheets
10,6.477,406.347,541.899,410.000,519.000,0,0,57,400,0.000,0.406,0.713,1.767,backpack
11,6.022,350.000,150.000,348.000,162.000,0,0,57,400,0.000,0.457
