P31M5,C,2014-09-16

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.992,350.000,150.000,347.000,151.000,0,0,13,400,0.000,0.553,0.930,1.611,yahoo
1,2.283,293.653,541.899,293.000,543.000,0,0,13,400,0.000,0.546,0.902,1.040,avenue
2,1.737,458.128,181.749,460.000,183.000,0,0,13,400,0.000,0.401,0.877,0.933,towel
3,3.774,198.850,480.972,198.000,482.000,0,0,13,400,0.000,0.517,0.828,0.841,napkin
4,3.227,531.926,266.917,532.000,267.000,0,0,13,400,0.000,0.514,0.797,1.770,microphone
5,2.826,152.036,378.463,155.000,379.000,0,0,13,400,0.000,0.480,0.860,0.996,college
6,5.755,547.964,378.463,551.000,376.000,0,0,13,400,0.000,0.447,0.902,1.453,research
7,5.209,168.074,266.917,168.000,265.000,0,0,13,400,0.000,0.532,1.080,1.859,government
8,4.808,501.150,480.972,499.000,483.000,0,0,13,400,0.000,0.468,0.830,1.438,research
9,4.291,241.872,181.749,244.000,184.000,0,0,13,400,0.000,0.475,0.845,0.684,google
10,7.366,406.347,541.899,407.000,542.000,0,0,13,400,0.000,0.494,0.824,1.103,flower
11,6.820,350.000,150.000,352.000,150.000,0,0,13,400,0.000,0.392
