P31M7,A,2014-09-16

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.601,350.000,150.000,351.000,154.000,0,0,57,400,0.000,0.638,0.932,0.665,female
1,1.835,293.653,541.899,299.000,543.000,0,0,57,400,0.000,0.674,0.707,1.106,college
2,1.162,458.128,181.749,466.000,189.000,0,0,57,400,0.000,0.683,0.854,0.504,bring
3,3.063,198.850,480.972,191.000,462.000,0,0,57,400,0.000,0.481,0.936,0.471,cafe
4,2.389,531.926,266.917,512.000,268.000,0,0,57,400,0.000,0.423,0.806,0.633,mouse
5,1.707,152.036,378.463,164.000,363.000,0,0,57,400,0.000,0.368,0.881,0.617,table
6,4.097,547.964,378.463,550.000,394.000,0,0,57,400,0.000,0.445,0.828,3.471,avenue
7,3.423,168.074,266.917,170.000,264.000,0,0,57,400,0.000,0.476,1.012,1.370,fingers
8,2.740,501.150,480.972,501.000,473.000,0,0,57,400,0.000,0.217,0.876,1.212,speakers
9,2.260,241.872,181.749,262.000,185.000,0,0,57,400,0.000,0.400,0.920,0.981,flower
10,5.169,406.347,541.899,395.000,545.000,0,0,57,400,0.000,0.418,0.939,0.328,lamp
11,4.495,350.000,150.000,352.000,137.000,0,0,57,400,0.000,0.508
