P31M7,B,2014-09-16

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.799,350.000,150.000,353.000,148.000,0,0,27,400,0.000,0.000,1.059,0.696,center
1,2.019,293.653,541.899,296.000,535.000,0,0,27,400,0.000,0.371,0.914,1.116,speakers
2,1.648,458.128,181.749,460.000,187.000,0,0,27,400,0.000,0.209,0.837,0.780,google
3,2.885,198.850,480.972,205.000,481.000,0,0,27,400,0.000,0.422,0.949,0.460,table
4,2.514,531.926,266.917,536.000,265.000,0,0,27,400,0.000,0.518,0.684,0.885,avenue
5,2.305,152.036,378.463,155.000,374.000,0,0,27,400,0.000,0.582,0.789,0.769,avenue
6,3.852,547.964,378.463,536.000,381.000,0,0,27,400,0.000,0.521,0.954,2.530,backpack
7,3.481,168.074,266.917,163.000,270.000,0,0,27,400,0.000,0.579,0.814,1.127,computer
8,3.272,501.150,480.972,501.000,472.000,0,0,27,400,0.000,0.402,0.819,0.716,center
9,2.849,241.872,181.749,240.000,185.000,0,0,27,400,0.000,0.384,0.874,1.879,microphone
10,5.139,406.347,541.899,411.000,546.000,0,0,27,400,0.000,0.461,0.826,0.608,apple
11,4.768,350.000,150.000,347.000,151.000,0,0,27,400,0.000,0.453
