P34FA2,C,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,29.102,350.000,150.000,281.000,142.000,1,1,13,400,63.462,0.811,2.717,6.735,restaurant
1,47.453,293.653,541.899,285.000,531.000,1,1,13,400,7.916,0.035,3.005,0.842,napkin
2,59.047,458.128,181.749,369.000,305.000,1,1,13,400,146.101,0.007,2.668,1.888,napkin
3,70.119,198.850,480.972,246.000,502.000,1,0,13,400,45.626,4.153,1.893,1.049,woods
4,78.474,531.926,266.917,529.000,276.000,1,0,13,400,3.543,3.092,1.870,0.223,her
5,90.182,152.036,378.463,142.000,374.000,1,0,13,400,4.983,7.410,3.305,2.034,pittsburgh
6,99.578,547.964,378.463,550.000,340.000,1,0,13,400,32.517,0.002,2.383,3.588,avenue
7,140.279,168.074,266.917,148.000,264.000,1,0,13,400,14.284,21.685,2.515,0.751,woods
8,148.365,501.150,480.972,500.000,467.000,1,0,13,400,8.019,2.081,2.395,2.902,google
9,158.652,241.872,181.749,238.000,206.000,1,0,13,400,18.558,1.283,2.742,0.294,you
10,165.775,406.347,541.899,391.000,560.000,1,0,13,400,17.731,1.771,2.969,1.681,chair
11,176.406,350.000,150.000,367.000,112.000,1,0,13,400,35.629,1.141
