P4T3,C,2014-09-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.815,350.000,150.000,343.000,154.000,1,0,13,400,2.062,1.012,0.667,0.644,gates
1,2.980,293.653,541.899,297.000,549.000,1,0,13,400,1.850,0.402,0.907,2.129,carnegie
2,4.026,458.128,181.749,459.000,186.000,0,0,13,400,0.000,0.675,0.543,1.343,google
3,5.067,198.850,480.972,200.000,481.000,0,0,13,400,0.000,0.515,0.765,0.183,you
4,6.128,531.926,266.917,527.000,268.000,0,0,13,400,0.000,0.511,0.764,0.346,bring
5,7.291,152.036,378.463,151.000,377.000,0,0,13,400,0.000,0.348,0.667,1.153,fingers
6,9.215,547.964,378.463,554.000,379.000,1,0,13,400,0.060,0.378,0.629,1.564,pittsburgh
7,10.285,168.074,266.917,166.000,267.000,0,0,13,400,0.000,0.448,0.654,0.525,yahoo
8,11.443,501.150,480.972,501.000,481.000,0,0,13,400,0.000,0.428,0.726,1.273,microphone
9,12.579,241.872,181.749,240.000,186.000,0,0,13,400,0.000,0.343,0.654,0.413,paper
10,13.605,406.347,541.899,407.000,546.000,0,0,13,400,0.000,0.326,0.660,1.222,pittsburgh
11,14.809,350.000,150.000,351.000,154.000,0,0,13,400,0.000,0.436
