P4T4,B,2014-09-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.752,350.000,150.000,352.000,145.000,0,0,27,400,0.000,1.335,0.626,1.298,college
1,1.892,293.653,541.899,291.000,540.000,0,0,27,400,0.000,0.443,0.847,0.712,garbage
2,2.863,458.128,181.749,455.000,186.000,0,0,27,400,0.000,0.391,0.768,1.481,towel
3,3.902,198.850,480.972,203.000,484.000,0,0,27,400,0.000,0.444,0.667,0.639,napkin
4,4.624,531.926,266.917,536.000,265.000,0,0,27,400,0.000,0.486,0.782,0.352,mouse
5,5.415,152.036,378.463,159.000,373.000,0,0,27,400,0.000,0.384,0.620,0.456,gates
6,6.312,547.964,378.463,544.000,376.000,0,0,27,400,0.000,0.394,0.520,0.502,gates
7,7.277,168.074,266.917,172.000,265.000,0,0,27,400,0.000,0.302,0.755,0.652,female
8,8.184,501.150,480.972,501.000,478.000,0,0,27,400,0.000,0.433,0.527,0.393,mouse
9,9.259,241.872,181.749,240.000,185.000,0,0,27,400,0.000,0.331,0.538,0.392,melon
10,10.265,406.347,541.899,401.000,544.000,0,0,27,400,0.000,0.406,0.686,1.849,speakers
11,11.247,350.000,150.000,351.000,151.000,0,0,27,400,0.000,0.437
