P42F1,B,2014-09-03

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.337,350.000,150.000,351.000,150.000,0,0,27,400,0.000,0.010,1.549,2.358,mouse
1,2.344,293.653,541.899,302.000,538.000,0,0,27,400,0.000,1.467,1.510,1.308,apple
2,5.620,458.128,181.749,448.000,190.000,1,0,27,400,0.063,0.928,1.918,0.662,mouse
3,6.901,198.850,480.972,208.000,478.000,0,0,27,400,0.000,2.125,1.445,0.368,male
4,10.125,531.926,266.917,539.000,277.000,0,0,27,400,0.000,1.064,1.344,0.697,gates
5,11.207,152.036,378.463,150.000,376.000,0,0,27,400,0.000,2.942,1.637,2.169,pittsburgh
6,13.285,547.964,378.463,538.000,384.000,0,0,27,400,0.000,2.678,2.012,2.748,restaurant
7,14.250,168.074,266.917,172.000,276.000,0,0,27,400,0.000,0.982,1.790,0.689,apple
8,17.551,501.150,480.972,489.000,475.000,1,0,27,400,0.538,0.941,1.052,1.334,chair
9,18.729,241.872,181.749,233.000,180.000,0,0,27,400,0.000,2.425,1.589,5.031,toothpaste
10,19.847,406.347,541.899,395.000,540.000,0,0,27,400,0.000,1.261,1.461,1.055,street
11,20.773,350.000,150.000,353.000,148.000,0,0,27,400,0.000,1.727
