P42F8,C,2014-09-03

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.970,350.000,150.000,345.000,149.000,0,0,13,400,0.000,0.007,0.947,0.610,melon
1,2.335,293.653,541.899,289.000,545.000,0,0,13,400,0.000,0.891,1.056,0.518,tree
2,5.173,458.128,181.749,453.000,177.000,1,0,13,400,0.990,1.635,0.893,3.477,keyboard
3,7.291,198.850,480.972,208.000,480.000,1,0,13,400,3.201,0.912,1.372,1.617,printer
4,8.194,531.926,266.917,536.000,268.000,0,0,13,400,0.000,0.783,0.884,0.462,tree
5,10.235,152.036,378.463,148.000,367.000,1,0,13,400,6.153,0.865,0.881,1.065,carnegie
6,13.427,547.964,378.463,549.000,375.000,0,0,13,400,0.000,1.459,1.139,1.819,microphone
7,14.870,168.074,266.917,163.000,268.000,0,0,13,400,0.000,0.771,1.048,1.341,keyboard
8,19.470,501.150,480.972,505.000,476.000,1,0,13,400,0.289,0.863,1.102,0.888,avenue
9,20.894,241.872,181.749,241.000,181.000,0,0,13,400,0.000,0.882,1.018,0.855,kettle
10,22.111,406.347,541.899,408.000,541.000,0,0,13,400,0.000,0.916,1.366,0.525,lamp
11,25.222,350.000,150.000,350.000,150.000,0,0,13,400,0.000,1.623
