P7F8,C,2014-09-06

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,2.185,350.000,150.000,351.000,147.000,0,0,13,400,0.000,0.638,1.118,0.387,door
1,4.491,293.653,541.899,297.000,541.000,0,0,13,400,0.000,0.781,0.918,1.040,ceiling
2,3.710,458.128,181.749,459.000,185.000,0,0,13,400,0.000,0.784,1.044,0.452,lamp
3,7.068,198.850,480.972,466.000,219.000,1,0,13,400,368.164,1.102,0.961,0.452,lamp
4,6.288,531.926,266.917,536.000,259.000,1,0,13,400,2.904,1.136,1.262,0.543,apple
5,5.504,152.036,378.463,152.000,378.000,0,0,13,400,0.000,2.085,1.942,1.699,restaurant
6,9.944,547.964,378.463,549.000,373.000,0,0,13,400,0.000,0.822,1.963,0.760,friend
7,9.164,168.074,266.917,170.000,265.000,0,0,13,400,0.000,3.909,1.251,0.675,cafe
8,8.380,501.150,480.972,501.000,477.000,0,0,13,400,0.000,0.809,1.357,0.558,apple
9,7.278,241.872,181.749,243.000,179.000,0,0,13,400,0.000,1.617,1.208,0.771,flower
10,24.656,406.347,541.899,258.000,332.000,1,0,13,400,251.029,1.239,3.026,0.472,door
11,23.876,350.000,150.000,350.000,153.000,0,0,13,400,0.000,1.255
