P8M1,B,2014-09-15

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.666,350.000,150.000,347.000,141.000,0,0,27,400,0.000,0.000,0.538,0.780,scanner
1,1.852,293.653,541.899,296.000,546.000,0,0,27,400,0.000,0.201,0.571,0.413,door
2,1.651,458.128,181.749,460.000,181.000,0,0,27,400,0.000,0.327,0.583,0.684,fingers
3,2.908,198.850,480.972,201.000,483.000,0,0,27,400,0.000,0.115,0.612,0.705,towel
4,2.707,531.926,266.917,539.000,264.000,0,0,27,400,0.000,0.491,0.575,0.675,tissue
5,2.380,152.036,378.463,150.000,371.000,0,0,27,400,0.000,0.366,0.627,0.551,bring
6,3.672,547.964,378.463,551.000,377.000,0,0,27,400,0.000,0.325,0.623,0.891,ceiling
7,3.471,168.074,266.917,167.000,264.000,0,0,27,400,0.000,0.373,0.580,0.527,google
8,3.144,501.150,480.972,502.000,481.000,0,0,27,400,0.000,0.388,0.682,0.566,kettle
9,3.029,241.872,181.749,244.000,174.000,0,0,27,400,0.000,0.319,0.650,0.502,bring
10,4.827,406.347,541.899,409.000,539.000,0,0,27,400,0.000,0.350,0.750,0.509,mouse
11,4.626,350.000,150.000,348.000,148.000,0,0,27,400,0.000,0.212
