P9T3,B,2014-09-10

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.636,350.000,150.000,353.000,150.000,0,0,27,400,0.000,0.725,0.637,0.950,street
1,2.618,293.653,541.899,291.000,532.000,0,0,27,400,0.000,0.523,0.917,1.599,restaurant
2,2.096,458.128,181.749,461.000,177.000,0,0,27,400,0.000,0.480,0.812,2.260,printer
3,4.939,198.850,480.972,196.000,483.000,0,0,27,400,0.000,0.392,0.870,1.471,backpack
4,4.416,531.926,266.917,534.000,268.000,0,0,27,400,0.000,0.597,0.943,0.483,door
5,3.936,152.036,378.463,145.000,381.000,0,0,27,400,0.000,0.514,0.782,1.598,computer
6,6.518,547.964,378.463,553.000,379.000,0,0,27,400,0.000,0.525,0.975,0.814,table
7,5.996,168.074,266.917,172.000,268.000,0,0,27,400,0.000,0.439,0.999,0.868,yahoo
8,5.516,501.150,480.972,500.000,478.000,0,0,27,400,0.000,0.511,1.018,0.480,lamp
9,5.123,241.872,181.749,238.000,179.000,0,0,27,400,0.000,0.541,0.899,1.485,computer
10,8.274,406.347,541.899,406.000,531.000,0,0,27,400,0.000,0.604,0.954,1.434,restaurant
11,7.752,350.000,150.000,352.000,145.000,0,0,27,400,0.000,0.457
