PcaMRb,A,2014-08-28

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,6.821,350.000,150.000,346.000,141.000,0,0,57,400,0.000,5.720,1.433,2.022,chinagraph
1,18.450,293.653,541.899,388.000,208.000,1,0,57,400,318.972,2.411,1.775,6.858,unfired
2,29.700,458.128,181.749,445.000,187.000,0,0,57,400,0.000,1.345,1.445,1.398,lapstreak
3,40.370,198.850,480.972,347.000,252.000,1,0,57,400,244.721,1.372,1.830,1.088,marlene
4,48.107,531.926,266.917,273.000,526.000,1,0,57,400,338.288,0.008,1.847,3.051,mareograph
5,59.831,152.036,378.463,513.000,252.000,1,0,57,400,354.476,0.082,1.633,14.041,involutional
6,78.303,547.964,378.463,145.000,372.000,1,0,57,400,375.016,1.436,2.200,2.278,fountainless
7,89.051,168.074,266.917,432.000,380.000,1,0,57,400,259.132,0.905,1.725,1.282,doorstep
8,95.184,501.150,480.972,498.000,486.000,0,0,57,400,0.000,1.761,1.929,2.641,lapstreak
9,102.694,241.872,181.749,249.000,184.000,0,0,57,400,0.000,0.005,2.234,3.321,republicanising
10,117.293,406.347,541.899,241.000,189.000,1,0,57,400,361.714,1.830,1.156,0.654,leaky
11,123.245,350.000,150.000,321.000,217.000,1,0,57,400,45.007,0.761
