PcaFRc,C,2014-08-28

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,2.179,350.000,150.000,350.000,147.000,0,0,13,400,0.000,0.304,0.852,1.692,warmthless
1,9.863,293.653,541.899,297.000,338.000,1,0,13,400,197.926,0.502,1.289,4.947,quadrivalency
2,18.873,458.128,181.749,460.000,181.000,0,0,13,400,0.000,0.491,1.027,3.126,republicanising
3,26.816,198.850,480.972,426.000,179.000,1,0,13,400,371.868,0.378,0.891,1.756,shinnston
4,31.449,531.926,266.917,210.000,500.000,1,0,13,400,391.447,0.067,0.920,1.383,lapstreak
5,39.768,152.036,378.463,294.000,330.000,1,0,13,400,144.008,0.006,0.870,0.879,candle
6,47.583,547.964,378.463,543.000,382.000,1,1,13,400,0.095,0.846,0.886,1.388,understage
7,56.393,168.074,266.917,423.000,395.000,1,0,13,400,279.294,0.551,0.997,1.963,fence
8,60.948,501.150,480.972,497.000,479.000,0,0,13,400,0.000,0.314,1.000,1.261,nonsawing
9,65.740,241.872,181.749,252.000,183.000,1,0,13,400,4.205,0.010,1.568,1.859,sicilies
10,73.138,406.347,541.899,337.000,201.000,1,0,13,400,341.880,0.336,1.067,1.847,dacryon
11,78.914,350.000,150.000,345.000,155.000,1,0,13,400,1.071,0.466
