TcaMc,B,2014-08-28

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.656,350.000,150.000,355.000,133.000,1,0,27,400,4.720,0.625,0.928,3.003,cephalothorax
1,6.684,293.653,541.899,296.000,549.000,0,0,27,400,0.000,0.372,0.747,1.036,cannily
2,9.965,458.128,181.749,460.000,185.000,0,0,27,400,0.000,0.564,0.806,1.213,marlene
3,13.368,198.850,480.972,201.000,483.000,0,0,27,400,0.000,0.570,0.720,6.421,cephalothorax
4,22.633,531.926,266.917,543.000,260.000,1,0,27,400,0.056,0.360,0.849,2.854,korah
5,28.169,152.036,378.463,156.000,381.000,0,0,27,400,0.000,0.560,1.844,7.756,phycocolloid
6,39.207,547.964,378.463,553.000,370.000,0,0,27,400,0.000,0.561,0.946,3.639,phycocolloid
7,45.162,168.074,266.917,167.000,263.000,0,0,27,400,0.000,0.654,0.853,2.127,israel
8,49.506,501.150,480.972,511.000,485.000,0,0,27,400,0.000,0.607,0.738,2.121,counteraction
9,54.118,241.872,181.749,242.000,178.000,0,0,27,400,0.000,0.568,0.729,2.593,warmthless
10,58.536,406.347,541.899,406.000,538.000,0,0,27,400,0.000,0.418,0.863,3.972,warmthless
11,64.588,350.000,150.000,361.000,156.000,0,0,27,400,0.000,0.524
