PcbTa,C,2014-08-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.201,350.000,150.000,348.000,154.000,0,0,13,400,0.000,0.718,0.762,2.586,government
1,7.392,293.653,541.899,296.000,536.000,1,0,13,400,0.348,0.732,0.735,1.867,college
2,12.107,458.128,181.749,459.000,185.000,0,0,13,400,0.000,0.583,0.686,0.504,google
3,15.113,198.850,480.972,200.000,482.000,0,0,13,400,0.000,0.513,0.796,1.194,carnegie
4,19.451,531.926,266.917,532.000,266.000,0,0,13,400,0.000,0.535,0.695,1.509,backpack
5,23.437,152.036,378.463,152.000,382.000,0,0,13,400,0.000,0.591,0.776,0.607,bring
6,28.017,547.964,378.463,549.000,378.000,0,0,13,400,0.000,0.548,0.693,0.412,lamp
7,31.059,168.074,266.917,169.000,264.000,0,0,13,400,0.000,0.422,0.707,0.840,computer
8,34.626,501.150,480.972,503.000,480.000,0,0,13,400,0.000,0.471,0.711,0.499,mouse
9,37.695,241.872,181.749,245.000,185.000,0,0,13,400,0.000,0.545,0.843,0.601,yahoo
10,40.990,406.347,541.899,406.000,543.000,0,0,13,400,0.000,0.248,0.784,0.708,printer
