TestThree,A,2014-08-27

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.603,350.000,150.000,404.000,183.000,0,0,133,400,0.000,0.168,0.709,1.400,israel
1,3.507,293.653,541.899,292.000,541.000,0,0,133,400,0.000,0.466,0.493,0.328,fence
2,4.991,458.128,181.749,432.000,200.000,0,0,133,400,0.000,0.260,0.874,0.288,saith
3,6.887,198.850,480.972,220.000,493.000,0,0,133,400,0.000,0.303,0.561,1.344,lapstreak
4,9.725,531.926,266.917,515.000,241.000,0,0,133,400,0.000,0.406,0.611,1.480,sicilies
5,12.461,152.036,378.463,163.000,356.000,0,0,133,400,0.000,0.252,0.587,1.185,chinagraph
6,15.229,547.964,378.463,532.000,391.000,0,0,133,400,0.000,0.563,0.724,1.216,weslaco
7,17.983,168.074,266.917,204.000,252.000,0,0,133,400,0.000,0.350,0.601,0.976,blackwood
8,20.203,501.150,480.972,500.000,509.000,0,0,133,400,0.000,0.186,0.557,0.744,cannily
9,22.326,241.872,181.749,215.000,159.000,0,0,133,400,0.000,0.370,0.475,0.960,chinagraph
10,24.651,406.347,541.899,411.000,570.000,0,0,133,400,0.000,0.320,0.549,1.816,floweriness
11,27.836,350.000,150.000,374.000,191.000,0,0,133,400,0.000,0.194
