TestTwo,B,2014-08-27

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime
0,1.309,350.000,150.000,356.000,188.000,1,0,58,400,9.471,0.443,0.811,3.120
1,6.020,293.653,541.899,308.000,551.000,0,0,58,400,0.000,0.392,0.629,2.448
2,10.354,458.128,181.749,477.000,176.000,0,0,58,400,0.000,0.414,0.854,2.537
3,14.504,198.850,480.972,201.000,468.000,0,0,58,400,0.000,0.268,0.640,0.504
4,16.560,531.926,266.917,540.000,271.000,0,0,58,400,0.000,0.354,0.577,0.472
5,19.617,152.036,378.463,184.000,379.000,1,0,58,400,2.969,0.258,0.672,1.561
6,22.641,547.964,378.463,570.000,379.000,0,0,58,400,0.000,0.358,0.673,2.112
7,26.057,168.074,266.917,177.000,256.000,0,0,58,400,0.000,0.149,0.952,0.344
8,28.124,501.150,480.972,492.000,482.000,0,0,58,400,0.000,0.170,0.477,1.336
9,31.126,241.872,181.749,239.000,183.000,0,0,58,400,0.000,0.362,0.508,0.264
10,32.907,406.347,541.899,422.000,543.000,0,0,58,400,0.000,0.281,0.535,2.072
11,36.401,350.000,150.000,356.000,154.000,0,0,58,400,0.000,0.380
