p1t1,B,None,2015-03-20

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.168,350.000,150.000,351.000,141.000,0,1,27,400,0.000,1.082,0.997,0.589,sheets
1,2.315,293.653,541.899,293.000,543.000,0,1,27,400,0.000,0.209,0.729,0.928,keyboard
2,3.135,458.128,181.749,464.000,177.000,0,1,27,400,0.000,0.225,0.552,0.600,carnegie
3,4.154,198.850,480.972,203.000,484.000,0,1,27,400,0.000,0.430,0.609,0.422,mouse
4,5.177,531.926,266.917,528.000,261.000,0,1,27,400,0.000,0.210,0.604,0.401,door
5,6.016,152.036,378.463,152.000,374.000,0,1,27,400,0.000,0.329,0.655,0.903,tissue
6,7.078,547.964,378.463,551.000,374.000,0,1,27,400,0.000,0.552,0.808,1.334,fingers
7,8.184,168.074,266.917,169.000,274.000,0,1,27,400,0.000,0.167,0.584,1.569,suitcase
8,9.499,501.150,480.972,492.000,479.000,0,1,27,400,0.000,0.167,0.745,0.522,mouse
9,10.382,241.872,181.749,235.000,190.000,0,1,27,400,0.000,0.185,0.854,0.870,lamp
10,11.607,406.347,541.899,408.000,540.000,0,1,27,400,0.000,0.127,0.646,0.214,you
11,12.650,350.000,150.000,344.000,151.000,0,1,27,400,0.000,0.694
