p10a1,A,None,2015-03-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.694,350.000,150.000,360.000,151.000,0,1,57,400,0.000,0.025,0.586,0.321,door
1,4.150,293.653,541.899,305.000,548.000,0,1,57,400,0.000,0.106,0.603,0.763,favorite
2,6.517,458.128,181.749,449.000,184.000,0,1,57,400,0.000,0.149,1.815,0.670,wear
3,7.254,198.850,480.972,200.000,492.000,0,1,57,400,0.000,0.776,0.587,2.705,physics
4,8.068,531.926,266.917,526.000,271.000,0,1,57,400,0.000,0.716,0.542,0.875,street
5,8.783,152.036,378.463,147.000,379.000,0,1,57,400,0.000,0.108,0.153,1.700,backpack
6,9.967,547.964,378.463,552.000,384.000,0,1,57,400,0.000,0.149,0.607,0.404,trail
7,11.152,168.074,266.917,178.000,271.000,0,1,57,400,0.000,0.452,0.155,1.220,schools
8,11.887,501.150,480.972,516.000,474.000,0,1,57,400,0.000,0.228,0.547,0.316,rich
9,12.539,241.872,181.749,245.000,200.000,0,1,57,400,0.000,0.756,0.668,0.620,computer
10,13.172,406.347,541.899,413.000,535.000,0,1,57,400,0.000,0.188,0.689,0.344,chair
11,15.909,350.000,150.000,363.000,151.000,0,1,57,400,0.000,0.165
