p10a1,B,None,2015-03-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.573,350.000,150.000,358.000,151.000,0,1,27,400,0.000,0.022,0.653,0.739,kettle
1,2.413,293.653,541.899,298.000,543.000,0,1,27,400,0.000,0.123,0.502,0.576,college
2,4.622,458.128,181.749,456.000,182.000,0,1,27,400,0.000,0.106,0.583,1.813,ruins
3,5.561,198.850,480.972,202.000,474.000,0,1,27,400,0.000,0.512,0.611,0.587,plows
4,6.380,531.926,266.917,540.000,261.000,0,1,27,400,0.000,0.165,0.590,0.403,gates
5,7.280,152.036,378.463,161.000,374.000,0,1,27,400,0.000,0.148,0.742,1.869,trays
6,8.056,547.964,378.463,547.000,374.000,0,1,27,400,0.000,0.125,0.628,0.386,flick
7,9.690,168.074,266.917,171.000,259.000,0,1,27,400,0.000,0.108,0.133,0.879,friend
8,10.425,501.150,480.972,504.000,479.000,0,1,27,400,0.000,0.165,0.483,0.650,smart
9,11.489,241.872,181.749,243.000,184.000,0,1,27,400,0.000,0.125,0.662,0.735,street
10,12.614,406.347,541.899,411.000,540.000,0,1,27,400,0.000,0.692,0.583,0.430,google
11,13.436,350.000,150.000,356.000,154.000,0,1,27,400,0.000,0.103
