p10t3,A,None,2015-03-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.520,350.000,150.000,353.000,146.000,0,1,57,400,0.000,0.003,0.558,0.490,trays
1,2.238,293.653,541.899,305.000,533.000,0,1,57,400,0.000,0.103,0.523,0.343,rails
2,3.053,458.128,181.749,456.000,187.000,0,1,57,400,0.000,0.128,0.622,0.487,trail
3,3.872,198.850,480.972,193.000,484.000,0,1,57,400,0.000,0.107,0.501,0.488,kills
4,5.284,531.926,266.917,562.000,259.000,1,1,57,400,3.098,0.107,0.653,0.474,yahoo
5,5.960,152.036,378.463,149.000,369.000,0,1,57,400,0.000,0.064,0.522,0.345,rails
6,6.594,547.964,378.463,543.000,374.000,0,1,57,400,0.000,0.166,0.648,1.373,backpack
7,8.971,168.074,266.917,164.000,238.000,1,1,57,400,1.203,0.065,0.629,0.360,mouse
8,9.726,501.150,480.972,502.000,479.000,0,1,57,400,0.000,0.107,0.482,0.798,jewel
9,10.526,241.872,181.749,243.000,182.000,0,1,57,400,0.000,0.107,0.479,0.386,chair
10,11.224,406.347,541.899,396.000,548.000,0,1,57,400,0.000,0.105,0.479,0.407,kills
11,12.060,350.000,150.000,348.000,146.000,0,1,57,400,0.000,0.125
