p10t8,C,None,2015-03-29

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.435,350.000,150.000,348.000,151.000,0,1,13,400,0.000,0.591,0.621,1.056,jewel
1,2.744,293.653,541.899,291.000,545.000,0,1,13,400,0.000,0.063,0.070,0.980,plows
2,3.702,458.128,181.749,459.000,179.000,0,1,13,400,0.000,0.149,0.504,0.508,made
3,4.684,198.850,480.972,197.000,484.000,0,1,13,400,0.000,0.109,0.483,1.004,melon
4,5.914,531.926,266.917,533.000,266.000,0,1,13,400,0.000,0.005,0.518,0.429,kills
5,6.729,152.036,378.463,149.000,376.000,0,1,13,400,0.000,0.107,0.509,0.344,tree
6,7.778,547.964,378.463,547.000,379.000,0,1,13,400,0.000,0.103,1.011,0.595,schools
7,8.576,168.074,266.917,171.000,264.000,0,1,13,400,0.000,0.107,0.544,0.402,thorn
8,11.137,501.150,480.972,507.000,479.000,1,1,13,400,0.174,0.022,0.132,0.770,made
9,12.035,241.872,181.749,243.000,182.000,0,1,13,400,0.000,0.109,0.603,0.300,made
10,13.098,406.347,541.899,406.000,543.000,0,1,13,400,0.000,0.105,0.114,0.878,flick
11,14.182,350.000,150.000,351.000,149.000,0,1,13,400,0.000,0.084
