p4t2,A,None,2015-03-21

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.478,350.000,150.000,356.000,149.000,0,1,57,400,0.000,2.743,1.305,0.833,table
1,2.565,293.653,541.899,303.000,543.000,0,1,57,400,0.000,0.716,1.075,5.410,bring
2,3.549,458.128,181.749,461.000,197.000,0,1,57,400,0.000,0.834,0.973,2.623,carnegie
3,4.446,198.850,480.972,205.000,484.000,0,1,57,400,0.000,0.877,1.137,1.251,scanner
4,5.434,531.926,266.917,540.000,269.000,0,1,57,400,0.000,0.933,1.077,0.564,tree
5,6.538,152.036,378.463,156.000,389.000,0,1,57,400,0.000,2.500,1.344,1.267,candle
6,7.722,547.964,378.463,546.000,379.000,0,1,57,400,0.000,0.815,1.057,0.978,flower
7,8.967,168.074,266.917,166.000,279.000,0,1,57,400,0.000,0.855,3.403,2.132,toothpaste
8,9.948,501.150,480.972,508.000,474.000,0,1,57,400,0.000,0.875,0.994,1.024,flower
9,10.914,241.872,181.749,237.000,182.000,0,1,57,400,0.000,0.913,1.626,1.785,keyboard
10,11.836,406.347,541.899,416.000,517.000,0,1,57,400,0.000,0.852,1.075,0.917,lamp
11,13.062,350.000,150.000,345.000,161.000,0,1,57,400,0.000,0.509
