p6a3,B,None,2015-03-21

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.045,350.000,150.000,346.000,151.000,0,0,27,400,0.000,0.003,1.433,0.658,apple
1,2.597,293.653,541.899,293.000,548.000,0,1,27,400,0.000,0.774,2.081,2.399,melon
2,3.373,458.128,181.749,464.000,184.000,0,1,27,400,0.000,1.101,1.075,1.913,tissue
3,5.045,198.850,480.972,197.000,489.000,0,1,27,400,0.000,0.613,1.448,1.433,college
4,6.107,531.926,266.917,534.000,269.000,0,1,27,400,0.000,0.593,1.843,0.831,woods
5,7.297,152.036,378.463,156.000,374.000,0,1,27,400,0.000,1.527,1.936,1.382,mouse
6,8.379,547.964,378.463,547.000,376.000,0,1,27,400,0.000,1.280,1.630,1.123,government
7,9.441,168.074,266.917,174.000,266.000,0,1,27,400,0.000,0.696,1.323,1.285,napkin
8,10.631,501.150,480.972,498.000,489.000,0,1,27,400,0.000,0.652,0.706,0.771,bring
9,14.617,241.872,181.749,238.000,190.000,0,0,27,400,0.000,4.123,1.447,1.610,door
10,15.847,406.347,541.899,413.000,540.000,0,1,27,400,0.000,1.157,1.471,4.445,research
11,16.908,350.000,150.000,342.000,146.000,0,1,27,400,0.000,0.999
