p7a2,C,None,2015-03-21

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.799,350.000,150.000,349.000,149.000,0,0,13,400,0.000,0.002,0.772,0.897,street
1,2.045,293.653,541.899,295.000,543.000,0,1,13,400,0.000,0.209,0.893,0.821,speakers
2,3.274,458.128,181.749,460.000,182.000,0,1,13,400,0.000,0.226,1.119,0.462,lamp
3,4.233,198.850,480.972,201.000,481.000,0,1,13,400,0.000,1.306,0.790,0.589,mouse
4,5.564,531.926,266.917,421.000,399.000,1,1,13,400,166.484,0.837,0.749,1.318,research
5,6.667,152.036,378.463,154.000,374.000,0,1,13,400,0.000,0.434,0.798,0.810,speakers
6,7.872,547.964,378.463,547.000,379.000,0,1,13,400,0.000,0.167,1.396,0.703,sheets
7,9.386,168.074,266.917,171.000,261.000,1,1,13,400,0.601,0.413,2.257,0.485,tree
8,10.080,501.150,480.972,500.000,481.000,0,1,13,400,0.000,0.713,0.873,1.297,suitcase
9,11.184,241.872,181.749,238.000,179.000,0,1,13,400,0.000,0.313,1.065,1.419,university
10,13.716,406.347,541.899,408.000,543.000,0,1,13,400,0.000,0.225,1.342,1.746,female
11,15.878,350.000,150.000,355.000,143.000,1,1,13,400,2.602,0.246
