p7a5,A,None,2015-03-21

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.762,350.000,150.000,556.000,635.000,1,0,57,400,498.935,0.510,1.346,0.691,google
1,1.659,293.653,541.899,297.000,558.000,0,1,57,400,0.000,0.310,1.016,3.739,apple
2,2.241,458.128,181.749,449.000,197.000,0,1,57,400,0.000,0.166,0.912,5.563,candle
3,2.961,198.850,480.972,199.000,504.000,0,1,57,400,0.000,0.328,0.458,1.213,napkin
4,3.785,531.926,266.917,474.000,405.000,1,1,57,400,121.741,0.839,0.834,1.610,toothpaste
5,4.357,152.036,378.463,150.000,397.000,0,1,57,400,0.000,0.371,0.915,6.019,microphone
6,5.216,547.964,378.463,543.000,371.000,0,1,57,400,0.000,0.309,0.771,0.979,street
7,5.847,168.074,266.917,169.000,256.000,0,1,57,400,0.000,0.187,1.037,2.170,garbage
8,6.501,501.150,480.972,485.000,481.000,0,1,57,400,0.000,0.205,0.848,1.021,flower
9,7.014,241.872,181.749,233.000,187.000,0,1,57,400,0.000,0.551,0.853,0.214,her
10,8.160,406.347,541.899,415.000,543.000,0,1,57,400,0.000,0.166,0.833,1.228,university
11,9.346,350.000,150.000,357.000,146.000,0,1,57,400,0.000,0.085
