p8t7,C,None,2015-03-21

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.080,350.000,150.000,308.000,653.000,1,0,13,400,498.750,1.320,1.080,1.152,keyboard
1,2.588,293.653,541.899,289.000,545.000,0,1,13,400,0.000,0.941,0.977,1.052,keyboard
2,3.782,458.128,181.749,460.000,184.000,0,1,13,400,0.000,0.308,0.871,0.736,sheets
3,5.768,198.850,480.972,203.000,486.000,1,1,13,400,0.519,0.290,0.345,1.187,flower
4,6.809,531.926,266.917,530.000,266.000,0,1,13,400,0.000,0.289,0.852,0.838,napkin
5,8.260,152.036,378.463,154.000,382.000,0,1,13,400,0.000,0.170,0.815,0.766,melon
6,10.526,547.964,378.463,549.000,379.000,0,1,13,400,0.000,0.167,0.771,0.736,candle
7,11.594,168.074,266.917,169.000,266.000,0,1,13,400,0.000,0.471,1.056,0.545,bring
8,12.676,501.150,480.972,502.000,484.000,0,1,13,400,0.000,0.228,1.037,10.386,suitcase
9,13.968,241.872,181.749,246.000,182.000,0,1,13,400,0.000,0.204,0.852,1.340,government
10,15.418,406.347,541.899,410.000,540.000,0,1,13,400,0.000,0.331,0.756,0.573,center
11,16.645,350.000,150.000,346.000,154.000,0,1,13,400,0.000,0.249
