p9a8,C,None,2015-03-21

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,4.168,350.000,150.000,349.000,154.000,0,1,13,400,0.000,0.004,1.380,1.541,speakers
1,8.175,293.653,541.899,295.000,548.000,1,1,13,400,0.248,0.348,0.854,0.784,printer
2,9.483,458.128,181.749,455.000,184.000,0,1,13,400,0.000,0.876,0.805,0.907,scanner
3,10.872,198.850,480.972,201.000,486.000,0,1,13,400,0.000,0.430,0.298,1.238,ceiling
4,11.998,531.926,266.917,532.000,269.000,0,1,13,400,0.000,0.287,0.792,1.568,toothpaste
5,13.693,152.036,378.463,156.000,379.000,0,1,13,400,0.000,0.474,0.787,2.005,pittsburgh
6,14.961,547.964,378.463,543.000,379.000,0,1,13,400,0.000,0.288,0.812,1.714,college
7,16.084,168.074,266.917,174.000,266.000,0,1,13,400,0.000,0.674,0.889,1.242,backpack
8,17.595,501.150,480.972,504.000,484.000,0,1,13,400,0.000,0.894,0.850,1.371,chair
9,19.005,241.872,181.749,240.000,184.000,0,1,13,400,0.000,0.411,0.768,1.996,toothpaste
10,20.354,406.347,541.899,406.000,543.000,0,1,13,400,0.000,0.309,0.724,1.207,table
11,21.884,350.000,150.000,351.000,151.000,0,1,13,400,0.000,1.222
