p9t4,B,None,2015-03-21

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.673,350.000,150.000,351.000,156.000,0,1,27,400,0.000,0.006,1.055,1.916,restaurant
1,2.350,293.653,541.899,295.000,548.000,0,1,27,400,0.000,0.310,0.680,0.947,fingers
2,3.268,458.128,181.749,460.000,184.000,0,1,27,400,0.000,0.265,0.751,1.056,towel
3,4.149,198.850,480.972,193.000,484.000,0,1,27,400,0.000,0.188,0.695,1.049,garbage
4,5.007,531.926,266.917,538.000,266.000,0,1,27,400,0.000,0.269,0.682,2.517,keyboard
5,5.967,152.036,378.463,150.000,384.000,0,1,27,400,0.000,0.287,0.953,1.654,toothpaste
6,6.928,547.964,378.463,551.000,376.000,0,1,27,400,0.000,0.289,0.729,1.278,research
7,8.075,168.074,266.917,176.000,271.000,0,1,27,400,0.000,0.226,0.647,1.467,government
8,9.200,501.150,480.972,496.000,489.000,0,1,27,400,0.000,0.329,0.682,1.324,sheets
9,10.198,241.872,181.749,242.000,190.000,0,1,27,400,0.000,0.310,0.872,2.604,computer
10,11.077,406.347,541.899,404.000,540.000,0,1,27,400,0.000,0.308,0.791,0.567,towel
11,12.080,350.000,150.000,349.000,151.000,0,1,27,400,0.000,0.266
