asdf,A,2014-09-25

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.729,350.000,150.000,329.000,163.000,0,0,57,400,0.000,0.019,0.492,1.256,speakers
1,1.388,293.653,541.899,286.000,554.000,0,0,57,400,0.000,0.106,0.483,2.520,speakers
2,1.863,458.128,181.749,467.000,171.000,0,0,57,400,0.000,0.130,0.491,0.296,mouse
3,2.354,198.850,480.972,198.000,468.000,0,0,57,400,0.000,0.189,0.633,0.680,computer
4,3.167,531.926,266.917,530.000,286.000,0,0,57,400,0.000,0.090,0.625,1.760,scanner
5,3.681,152.036,378.463,146.000,375.000,0,0,57,400,0.000,0.504,0.637,2.144,female
6,4.622,547.964,378.463,598.000,382.000,1,0,57,400,22.161,0.298,0.649,0.504,google
7,5.233,168.074,266.917,154.000,269.000,0,0,57,400,0.000,0.210,0.531,0.656,ceiling
8,5.787,501.150,480.972,509.000,470.000,0,0,57,400,0.000,0.230,0.576,0.784,carnegie
9,6.325,241.872,181.749,234.000,201.000,0,0,57,400,0.000,0.244,0.458,0.720,carnegie
10,6.970,406.347,541.899,397.000,549.000,0,0,57,400,0.000,0.246,0.533,0.368,tree
11,7.470,350.000,150.000,348.000,168.000,0,0,57,400,0.000,0.228
