asdf,B,2014-10-22

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,17.459,350.000,150.000,346.000,154.000,0,1,27,400,0.000,0.000,0.752,0.624,napkin
1,18.406,293.653,541.899,293.000,541.000,0,1,27,400,0.000,0.394,0.619,1.184,restaurant
2,19.408,458.128,181.749,461.000,186.000,0,0,27,400,0.000,0.300,0.930,1.711,door
3,20.225,198.850,480.972,195.000,485.000,0,0,27,400,0.000,0.262,0.570,0.584,computer
4,20.842,531.926,266.917,538.000,273.000,0,0,27,400,0.000,0.178,0.525,0.496,apple
5,21.685,152.036,378.463,146.000,379.000,0,0,27,400,0.000,0.178,0.475,0.480,female
6,23.079,547.964,378.463,562.000,388.000,1,0,27,400,3.969,0.222,0.631,0.912,pittsburgh
7,23.784,168.074,266.917,172.000,262.000,0,0,27,400,0.000,0.272,0.519,1.104,toothpaste
8,24.498,501.150,480.972,506.000,488.000,0,0,27,400,0.000,0.228,0.529,0.936,sheets
9,25.157,241.872,181.749,241.000,180.000,0,0,27,400,0.000,0.036,0.354,0.584,her
10,25.983,406.347,541.899,401.000,544.000,0,0,27,400,0.000,0.192,0.493,0.352,table
11,26.722,350.000,150.000,349.000,152.000,0,0,27,400,0.000,0.232
