asdf,A,2014-09-25

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.301,350.000,150.000,370.000,175.000,0,0,57,400,0.000,0.324,0.535,0.992,toothpaste
1,2.111,293.653,541.899,290.000,560.000,0,0,57,400,0.000,0.944,0.669,0.376,flower
2,2.806,458.128,181.749,463.000,208.000,0,0,57,400,0.000,0.174,0.532,0.928,university
3,3.296,198.850,480.972,186.000,481.000,0,0,57,400,0.000,0.306,0.556,0.353,tree
4,3.944,531.926,266.917,535.000,267.000,0,0,57,400,0.000,0.099,0.516,0.776,carnegie
5,4.504,152.036,378.463,139.000,381.000,0,0,57,400,0.000,0.244,0.659,0.433,candle
6,4.939,547.964,378.463,550.000,387.000,0,0,57,400,0.000,0.228,0.634,0.352,yahoo
7,5.678,168.074,266.917,177.000,278.000,0,0,57,400,0.000,0.362,0.620,0.272,paper
8,6.256,501.150,480.972,475.000,481.000,0,0,57,400,0.000,0.260,0.578,0.401,candle
9,7.258,241.872,181.749,234.000,187.000,0,0,57,400,0.000,0.379,0.572,1.102,friend
10,8.649,406.347,541.899,414.000,252.000,1,0,57,400,262.000,0.210,0.664,0.368,tree
11,9.709,350.000,150.000,415.000,391.000,1,0,57,400,221.612,0.202
