asdf,B,2014-10-30

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.471,350.000,150.000,356.000,150.000,0,0,27,400,0.000,0.001,0.000,0.000,N/A
1,1.681,293.653,541.899,299.000,535.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
2,2.708,458.128,181.749,452.000,186.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
3,3.533,198.850,480.972,190.000,482.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
4,4.575,531.926,266.917,533.000,268.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
5,5.661,152.036,378.463,158.000,382.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
6,7.087,547.964,378.463,562.000,388.000,1,0,27,400,3.969,0.000,0.000,0.000,N/A
7,8.257,168.074,266.917,160.000,274.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
8,9.155,501.150,480.972,496.000,478.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
9,10.017,241.872,181.749,240.000,178.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
10,10.947,406.347,541.899,409.000,535.000,0,0,27,400,0.000,0.000,0.000,0.000,N/A
11,11.773,350.000,150.000,350.000,143.000,0,0,27,400,0.000,0.000
