p16f2,A,None,2015-04-03

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.333,350.000,150.000,459.000,164.000,1,1,57,400,81.895,0.752,0.585,2.041,flower
1,2.458,293.653,541.899,300.000,550.000,0,1,57,400,0.000,0.266,0.319,2.649,plows
2,3.743,458.128,181.749,451.000,202.000,0,1,57,400,0.000,0.372,0.991,0.811,wear
3,5.316,198.850,480.972,590.000,166.000,1,1,57,400,474.201,0.292,1.079,0.953,today
4,6.872,531.926,266.917,559.000,287.000,1,1,57,400,5.709,0.208,0.276,1.750,dares
5,8.569,152.036,378.463,444.000,282.000,1,1,57,400,279.487,0.269,1.142,1.475,schools
6,9.984,547.964,378.463,475.000,166.000,1,1,57,400,196.643,0.332,0.891,0.890,today
7,11.953,168.074,266.917,456.000,102.000,1,1,57,400,303.812,0.248,1.033,1.075,plead
8,13.243,501.150,480.972,490.000,474.000,0,1,57,400,0.000,0.693,1.073,0.967,candle
9,14.837,241.872,181.749,250.000,184.000,0,1,57,400,0.000,0.249,1.016,0.750,loose
10,16.312,406.347,541.899,415.000,143.000,1,1,57,400,370.992,0.269,1.298,3.393,plows
11,17.152,350.000,150.000,344.000,161.000,0,1,57,400,0.000,0.288
