p16f8,C,None,2015-04-03

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.999,350.000,150.000,353.000,149.000,0,0,13,400,0.000,0.002,2.633,0.791,cafe
1,2.366,293.653,541.899,293.000,538.000,0,1,13,400,0.000,0.374,1.095,0.732,pails
2,4.309,458.128,181.749,451.000,182.000,1,1,13,400,1.133,0.248,0.751,0.879,apple
3,5.868,198.850,480.972,200.000,479.000,0,1,13,400,0.000,0.267,1.012,1.017,flower
4,7.336,531.926,266.917,533.000,266.000,0,1,13,400,0.000,0.332,0.893,0.477,hair
5,8.460,152.036,378.463,152.000,376.000,0,1,13,400,0.000,0.715,2.425,3.782,candle
6,9.747,547.964,378.463,545.000,382.000,0,1,13,400,0.000,0.269,0.993,1.274,printer
7,11.057,168.074,266.917,166.000,266.000,0,1,13,400,0.000,0.266,0.934,1.125,pokes
8,12.469,501.150,480.972,502.000,479.000,0,1,13,400,0.000,0.349,0.791,0.987,avenue
9,13.680,241.872,181.749,238.000,184.000,0,1,13,400,0.000,0.307,1.035,0.851,play
10,15.278,406.347,541.899,406.000,538.000,0,1,13,400,0.000,0.245,0.990,2.825,liars
11,16.442,350.000,150.000,348.000,149.000,0,1,13,400,0.000,0.609
