p16m6,B,2015-04-03

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.764,350.000,150.000,358.000,143.000,0,0,27,400,0.000,1.341,1.020,0.534,slaps
1,1.512,293.653,541.899,298.000,535.000,0,0,27,400,0.000,0.388,1.221,0.417,dares
2,2.656,458.128,181.749,462.000,182.000,0,0,27,400,0.000,0.468,1.181,1.425,melon
3,3.489,198.850,480.972,201.000,475.000,0,0,27,400,0.000,0.550,1.031,0.644,paper
4,4.320,531.926,266.917,533.000,265.000,0,0,27,400,0.000,0.225,0.951,0.830,yahoo
5,5.089,152.036,378.463,154.000,377.000,0,0,27,400,0.000,0.468,1.186,1.318,physics
6,5.958,547.964,378.463,544.000,376.000,0,0,27,400,0.000,0.265,0.972,0.835,tissue
7,6.476,168.074,266.917,176.000,265.000,0,0,27,400,0.000,0.488,0.937,0.770,yahoo
8,7.324,501.150,480.972,495.000,476.000,0,0,27,400,0.000,0.509,0.931,0.582,slaps
9,7.988,241.872,181.749,240.000,181.000,0,0,27,400,0.000,0.448,0.913,0.876,center
10,9.005,406.347,541.899,412.000,546.000,0,0,27,400,0.000,0.550,0.871,1.083,tissue
11,9.690,350.000,150.000,348.000,145.000,0,0,27,400,0.000,0.388
