p16t4,A,2015-04-03

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.955,350.000,150.000,350.000,154.000,0,0,57,400,0.000,0.000,0.749,1.126,scanner
1,2.001,293.653,541.899,285.000,537.000,0,0,57,400,0.000,0.428,0.830,0.451,hair
2,3.107,458.128,181.749,445.000,193.000,0,0,57,400,0.000,0.285,0.909,1.115,physics
3,4.687,198.850,480.972,192.000,477.000,0,0,57,400,0.000,0.163,0.891,0.747,kills
4,5.674,531.926,266.917,524.000,273.000,0,0,57,400,0.000,0.509,0.790,1.016,college
5,6.603,152.036,378.463,150.000,374.000,0,0,57,400,0.000,0.488,0.851,1.238,pails
6,7.832,547.964,378.463,544.000,380.000,0,0,57,400,0.000,0.387,1.099,2.184,favorite
7,8.921,168.074,266.917,151.000,261.000,0,0,57,400,0.000,0.427,0.729,0.963,college
8,10.071,501.150,480.972,504.000,479.000,0,0,57,400,0.000,0.549,0.916,0.428,door
9,11.371,241.872,181.749,241.000,175.000,0,0,57,400,0.000,0.408,0.849,0.849,table
10,12.645,406.347,541.899,390.000,525.000,0,0,57,400,0.000,0.407,0.851,0.646,never
11,13.690,350.000,150.000,341.000,162.000,0,0,57,400,0.000,0.366
