p16t5,B,2015-04-03

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.874,350.000,150.000,355.000,153.000,0,0,27,400,0.000,0.000,0.811,0.769,loose
1,2.193,293.653,541.899,293.000,535.000,0,0,27,400,0.000,0.266,0.872,0.875,rakes
2,3.615,458.128,181.749,448.000,182.000,0,0,27,400,0.000,0.244,0.812,0.912,center
3,4.728,198.850,480.972,198.000,472.000,0,0,27,400,0.000,0.509,1.126,0.910,jewel
4,5.761,531.926,266.917,530.000,265.000,0,0,27,400,0.000,0.549,0.954,0.706,liars
5,6.918,152.036,378.463,148.000,378.000,0,0,27,400,0.000,0.509,1.060,0.888,rakes
6,8.096,547.964,378.463,553.000,375.000,0,0,27,400,0.000,0.224,0.973,0.724,gates
7,8.985,168.074,266.917,170.000,266.000,0,0,27,400,0.000,0.205,0.898,1.556,physics
8,10.942,501.150,480.972,509.000,481.000,0,0,27,400,0.000,0.225,0.898,0.721,lairs
9,12.198,241.872,181.749,242.000,183.000,0,0,27,400,0.000,0.326,0.811,1.392,coffee
10,13.767,406.347,541.899,406.000,543.000,0,0,27,400,0.000,0.386,0.692,1.469,coffee
11,15.183,350.000,150.000,357.000,150.000,0,0,27,400,0.000,0.346
