p16t6,C,2015-04-03

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.117,350.000,150.000,354.000,147.000,0,0,13,400,0.000,0.000,0.930,0.745,lairs
1,2.334,293.653,541.899,293.000,536.000,0,0,13,400,0.000,0.671,0.872,0.762,pokes
2,3.719,458.128,181.749,462.000,184.000,0,0,13,400,0.000,0.328,0.933,1.517,physics
3,4.979,198.850,480.972,197.000,479.000,0,0,13,400,0.000,0.407,0.751,1.164,scanner
4,5.948,531.926,266.917,529.000,264.000,0,0,13,400,0.000,0.307,0.999,0.607,google
5,7.142,152.036,378.463,151.000,374.000,0,0,13,400,0.000,0.407,0.852,0.518,jails
6,8.384,547.964,378.463,553.000,376.000,0,0,13,400,0.000,0.448,0.832,0.785,plows
7,9.767,168.074,266.917,170.000,269.000,0,0,13,400,0.000,0.306,0.874,0.597,owed
8,11.007,501.150,480.972,500.000,478.000,0,0,13,400,0.000,0.285,0.749,1.061,coffee
9,12.164,241.872,181.749,243.000,181.000,0,0,13,400,0.000,0.488,0.851,0.583,flick
10,13.603,406.347,541.899,405.000,540.000,0,0,13,400,0.000,0.467,0.853,0.646,thorn
11,15.029,350.000,150.000,353.000,147.000,0,0,13,400,0.000,0.427
