p1f2,B,None,2015-03-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,2.223,350.000,150.000,344.000,151.000,0,0,27,400,0.000,0.022,1.708,0.567,gates
1,3.347,293.653,541.899,299.000,540.000,0,1,27,400,0.000,2.232,1.392,0.820,candle
2,4.573,458.128,181.749,451.000,184.000,0,1,27,400,0.000,0.649,1.409,0.130,her
3,5.616,198.850,480.972,201.000,476.000,0,1,27,400,0.000,0.555,1.223,0.380,male
4,7.207,531.926,266.917,536.000,271.000,0,1,27,400,0.000,0.451,1.116,0.782,computer
5,8.288,152.036,378.463,152.000,374.000,0,1,27,400,0.000,0.453,1.367,0.765,ceiling
6,9.066,547.964,378.463,556.000,374.000,0,1,27,400,0.000,0.509,1.074,0.851,towel
7,10.622,168.074,266.917,169.000,269.000,0,1,27,400,0.000,0.290,0.689,2.068,flower
8,11.824,501.150,480.972,509.000,479.000,0,1,27,400,0.000,0.674,1.035,0.840,printer
9,13.256,241.872,181.749,244.000,182.000,0,1,27,400,0.000,0.408,1.002,0.196,you
10,14.524,406.347,541.899,415.000,543.000,0,1,27,400,0.000,0.612,1.277,0.460,chair
11,16.279,350.000,150.000,349.000,154.000,0,1,27,400,0.000,0.388
