p1f7,A,None,2015-03-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,2.538,350.000,150.000,351.000,151.000,0,1,57,400,0.000,0.003,0.851,0.797,garbage
1,3.234,293.653,541.899,297.000,553.000,0,1,57,400,0.000,0.267,0.789,0.441,woods
2,4.051,458.128,181.749,455.000,197.000,0,1,57,400,0.000,0.288,0.972,1.991,towel
3,4.990,198.850,480.972,199.000,476.000,0,1,57,400,0.000,0.245,0.808,0.622,tree
4,6.015,531.926,266.917,530.000,266.000,0,1,57,400,0.000,0.354,0.239,1.064,center
5,7.014,152.036,378.463,163.000,374.000,0,1,57,400,0.000,0.309,1.009,0.989,carnegie
6,7.770,547.964,378.463,566.000,374.000,0,1,57,400,0.000,0.389,0.898,1.120,towel
7,8.833,168.074,266.917,180.000,274.000,0,1,57,400,0.000,0.228,0.807,0.759,ceiling
8,9.611,501.150,480.972,517.000,484.000,0,1,57,400,0.000,0.306,0.705,1.996,college
9,10.573,241.872,181.749,252.000,192.000,0,1,57,400,0.000,0.959,0.833,0.515,flower
10,11.351,406.347,541.899,400.000,522.000,0,1,57,400,0.000,0.454,0.748,0.820,ceiling
11,12.332,350.000,150.000,342.000,154.000,0,1,57,400,0.000,0.310
