p1f7,C,None,2015-03-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.880,350.000,150.000,351.000,154.000,0,1,13,400,0.000,3.733,1.013,0.443,melon
1,3.578,293.653,541.899,297.000,540.000,0,1,13,400,0.000,0.225,0.851,1.089,carnegie
2,4.990,458.128,181.749,462.000,184.000,0,1,13,400,0.000,0.269,0.790,0.779,fingers
3,6.008,198.850,480.972,197.000,481.000,0,1,13,400,0.000,0.412,0.786,1.700,government
4,7.726,531.926,266.917,534.000,269.000,0,1,13,400,0.000,0.411,0.850,0.426,yahoo
5,9.466,152.036,378.463,156.000,379.000,0,1,13,400,0.000,0.146,1.037,5.351,restaurant
6,10.973,547.964,378.463,549.000,379.000,0,1,13,400,0.000,0.269,0.277,7.790,pittsburgh
7,14.124,168.074,266.917,174.000,269.000,1,1,13,400,0.282,0.266,1.613,0.276,male
8,15.447,501.150,480.972,500.000,481.000,0,1,13,400,0.000,0.270,0.891,0.594,tissue
9,18.896,241.872,181.749,248.000,184.000,1,1,13,400,0.528,0.270,1.114,0.894,chair
10,20.208,406.347,541.899,408.000,538.000,0,1,13,400,0.000,0.311,1.014,0.881,sheets
11,22.147,350.000,150.000,353.000,149.000,0,1,13,400,0.000,0.350
