p1m7,B,2015-03-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.643,350.000,150.000,351.000,154.000,0,0,27,400,0.000,0.489,1.230,0.456,melon
1,1.286,293.653,541.899,294.000,544.000,0,0,27,400,0.000,0.488,1.061,0.137,her
2,1.888,458.128,181.749,460.000,189.000,0,0,27,400,0.000,0.488,0.708,1.658,flower
3,2.449,198.850,480.972,199.000,481.000,0,0,27,400,0.000,0.529,0.813,0.715,garbage
4,3.072,531.926,266.917,533.000,272.000,0,0,27,400,0.000,0.448,0.732,0.455,table
5,3.717,152.036,378.463,155.000,378.000,0,1,27,400,0.000,0.571,1.123,1.414,pittsburgh
6,4.444,547.964,378.463,545.000,388.000,0,0,27,400,0.000,0.508,1.459,2.397,suitcase
7,5.067,168.074,266.917,171.000,271.000,0,0,27,400,0.000,0.367,0.747,0.668,center
8,5.690,501.150,480.972,499.000,478.000,0,0,27,400,0.000,0.346,0.815,0.973,friend
9,6.438,241.872,181.749,241.000,183.000,0,0,27,400,0.000,0.448,0.588,1.000,friend
10,7.125,406.347,541.899,405.000,539.000,0,0,27,400,0.000,0.630,0.737,2.353,restaurant
11,7.747,350.000,150.000,346.000,151.000,0,0,27,400,0.000,0.508
