p1m8,A,2015-03-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.289,350.000,150.000,356.000,140.000,0,0,57,400,0.000,0.428,1.246,0.198,him
1,0.997,293.653,541.899,302.000,526.000,0,0,57,400,0.000,0.569,1.342,4.883,suitcase
2,1.517,458.128,181.749,444.000,190.000,0,0,57,400,0.000,0.407,1.229,0.366,lamp
3,2.016,198.850,480.972,205.000,469.000,0,0,57,400,0.000,0.631,0.956,1.373,college
4,2.639,531.926,266.917,516.000,272.000,0,0,57,400,0.000,0.489,0.814,0.768,candle
5,3.156,152.036,378.463,153.000,387.000,0,0,57,400,0.000,0.570,1.146,0.789,google
6,4.053,547.964,378.463,535.000,381.000,0,0,57,400,0.000,0.529,1.101,0.417,melon
7,4.612,168.074,266.917,151.000,282.000,0,0,57,400,0.000,0.529,0.916,0.544,female
8,5.195,501.150,480.972,501.000,490.000,0,0,57,400,0.000,0.448,0.960,1.447,government
9,6.067,241.872,181.749,250.000,198.000,0,0,57,400,0.000,0.509,1.282,0.723,bring
10,6.920,406.347,541.899,405.000,541.000,0,0,57,400,0.000,0.650,0.932,3.428,computer
11,7.502,350.000,150.000,323.000,144.000,0,0,57,400,0.000,0.407
