p1m3,C,2015-03-26

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.596,350.000,150.000,350.000,152.000,0,0,13,400,0.000,1.260,1.202,1.060,google
1,1.610,293.653,541.899,296.000,541.000,0,0,13,400,0.000,0.448,0.877,1.138,woods
2,2.460,458.128,181.749,457.000,184.000,0,0,13,400,0.000,0.671,0.771,1.936,research
3,3.683,198.850,480.972,199.000,483.000,0,0,13,400,0.000,0.508,1.533,0.352,lamp
4,4.764,531.926,266.917,533.000,266.000,0,0,13,400,0.000,0.590,1.043,1.055,research
5,5.720,152.036,378.463,153.000,380.000,0,0,13,400,0.000,0.913,1.312,0.238,you
6,6.736,547.964,378.463,547.000,382.000,0,0,13,400,0.000,0.691,1.211,0.815,google
7,7.583,168.074,266.917,169.000,269.000,0,0,13,400,0.000,0.529,0.895,0.674,avenue
8,8.783,501.150,480.972,501.000,484.000,0,0,13,400,0.000,0.550,1.193,0.503,you
9,9.817,241.872,181.749,241.000,184.000,0,0,13,400,0.000,0.631,0.913,0.580,table
10,11.325,406.347,541.899,400.000,543.000,1,0,13,400,0.441,0.367,1.023,1.001,candle
11,12.318,350.000,150.000,353.000,153.000,0,0,13,400,0.000,0.529
