p11f7,C,None,2015-03-31

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,2.096,350.000,150.000,341.000,149.000,1,1,13,400,3.055,1.306,0.896,0.604,lairs
1,3.079,293.653,541.899,298.000,540.000,0,1,13,400,0.000,0.188,0.769,0.487,plead
2,4.311,458.128,181.749,461.000,182.000,0,1,13,400,0.000,0.185,0.703,0.396,cafe
3,5.267,198.850,480.972,202.000,479.000,0,1,13,400,0.000,0.188,0.932,0.188,her
4,6.674,531.926,266.917,533.000,264.000,0,1,13,400,0.000,0.147,0.708,1.309,apple
5,8.554,152.036,378.463,149.000,379.000,0,1,13,400,0.000,0.166,1.699,0.689,melon
6,9.869,547.964,378.463,547.000,379.000,0,1,13,400,0.000,0.125,0.765,3.537,street
7,11.571,168.074,266.917,164.000,261.000,1,1,13,400,1.184,0.207,0.928,0.504,rails
8,12.942,501.150,480.972,502.000,484.000,0,1,13,400,0.000,0.165,1.301,2.577,quest
9,14.844,241.872,181.749,248.000,182.000,1,1,13,400,0.133,0.165,1.525,1.200,lairs
10,16.014,406.347,541.899,404.000,540.000,0,1,13,400,0.000,0.287,0.678,0.459,play
11,17.590,350.000,150.000,351.000,146.000,0,1,13,400,0.000,0.228
