p13m4 ,A,2015-04-01

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.889,350.000,150.000,365.000,148.000,0,0,57,400,0.000,0.205,0.884,0.430,rails
1,1.506,293.653,541.899,291.000,546.000,0,0,57,400,0.000,0.284,0.646,0.733,college
2,2.027,458.128,181.749,455.000,191.000,0,0,57,400,0.000,0.245,0.274,1.038,agree
3,2.569,198.850,480.972,201.000,492.000,0,0,57,400,0.000,0.265,0.689,1.019,street
4,3.257,531.926,266.917,528.000,253.000,0,0,57,400,0.000,0.021,1.039,0.705,melon
5,3.919,152.036,378.463,156.000,392.000,0,0,57,400,0.000,0.387,0.729,0.348,male
6,4.501,547.964,378.463,544.000,387.000,0,0,57,400,0.000,0.346,0.688,0.429,made
7,5.162,168.074,266.917,179.000,276.000,0,0,57,400,0.000,0.265,0.643,0.516,woods
8,5.724,501.150,480.972,487.000,473.000,0,0,57,400,0.000,0.307,0.604,1.183,schools
9,6.451,241.872,181.749,241.000,187.000,0,0,57,400,0.000,0.144,0.689,0.510,owed
10,7.074,406.347,541.899,419.000,538.000,0,0,57,400,0.000,0.184,0.964,0.578,hinge
11,7.616,350.000,150.000,332.000,159.000,0,0,57,400,0.000,0.307
