p15t5,A,2015-04-02

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.103,350.000,150.000,359.000,148.000,0,0,57,400,0.000,0.372,0.699,0.989,pails
1,1.080,293.653,541.899,301.000,531.000,0,0,57,400,0.000,0.288,0.608,0.440,chair
2,2.286,458.128,181.749,453.000,198.000,0,0,57,400,0.000,0.390,0.621,0.970,street
3,3.012,198.850,480.972,208.000,462.000,0,0,57,400,0.000,0.287,0.647,0.650,female
4,3.881,531.926,266.917,522.000,271.000,0,0,57,400,0.000,0.371,0.674,0.708,wears
5,4.548,152.036,378.463,157.000,373.000,0,0,57,400,0.000,0.329,0.548,0.702,scanner
6,5.768,547.964,378.463,553.000,370.000,0,0,57,400,0.000,0.268,0.701,0.960,liars
7,6.769,168.074,266.917,194.000,280.000,1,0,57,400,1.040,0.516,0.743,1.501,play
8,7.432,501.150,480.972,508.000,468.000,0,0,57,400,0.000,0.369,0.609,0.486,smart
9,8.095,241.872,181.749,239.000,188.000,0,0,57,400,0.000,0.492,0.660,0.483,rails
10,9.422,406.347,541.899,414.000,546.000,0,0,57,400,0.000,0.227,0.646,0.439,chair
11,10.315,350.000,150.000,341.000,148.000,0,0,57,400,0.000,0.349
