p17m6,C,2015-04-03

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,1.322,350.000,150.000,354.000,148.000,0,0,13,400,0.000,1.300,0.912,2.301,play
1,2.438,293.653,541.899,297.000,540.000,0,0,13,400,0.000,0.509,0.591,0.701,agree
2,3.333,458.128,181.749,463.000,181.000,0,0,13,400,0.000,0.185,0.794,1.317,jewel
3,4.224,198.850,480.972,201.000,482.000,0,0,13,400,0.000,0.488,0.752,0.266,male
4,5.138,531.926,266.917,535.000,266.000,0,0,13,400,0.000,0.408,0.732,0.306,lamp
5,6.028,152.036,378.463,153.000,382.000,0,0,13,400,0.000,0.469,0.905,0.455,jails
6,6.921,547.964,378.463,548.000,379.000,0,0,13,400,0.000,0.488,0.855,0.556,yahoo
7,7.791,168.074,266.917,167.000,268.000,0,0,13,400,0.000,0.509,0.856,0.578,snare
8,9.079,501.150,480.972,500.000,480.000,0,0,13,400,0.000,0.042,0.694,0.516,watch
9,9.910,241.872,181.749,244.000,182.000,0,0,13,400,0.000,0.508,0.607,0.518,watch
10,10.821,406.347,541.899,405.000,540.000,0,0,13,400,0.000,0.508,0.856,0.543,google
11,11.528,350.000,150.000,348.000,150.000,0,0,13,400,0.000,0.347
