p2m3,B,2015-03-28

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.614,350.000,150.000,358.000,156.000,0,0,27,400,0.000,0.753,0.542,2.551,favorite
1,1.425,293.653,541.899,296.000,543.000,0,0,27,400,0.000,0.327,0.499,1.031,favorite
2,2.256,458.128,181.749,455.000,186.000,0,0,27,400,0.000,0.185,0.523,0.503,google
3,2.984,198.850,480.972,197.000,486.000,0,0,27,400,0.000,0.366,0.563,0.331,gates
4,3.670,531.926,266.917,522.000,270.000,0,0,27,400,0.000,0.144,0.628,0.194,her
5,4.439,152.036,378.463,152.000,380.000,0,0,27,400,0.000,0.245,0.590,0.493,agree
6,5.269,547.964,378.463,554.000,381.000,0,0,27,400,0.000,0.001,0.647,0.461,center
7,5.872,168.074,266.917,179.000,262.000,0,0,27,400,0.000,0.123,0.503,0.850,candle
8,6.704,501.150,480.972,501.000,484.000,0,0,27,400,0.000,0.306,0.502,0.305,door
9,7.413,241.872,181.749,239.000,173.000,0,0,27,400,0.000,0.326,0.645,0.355,mouse
10,8.178,406.347,541.899,411.000,546.000,0,0,27,400,0.000,0.286,0.589,0.368,towel
11,8.824,350.000,150.000,345.000,153.000,0,0,27,400,0.000,0.346
