p2m8,A,2015-03-28

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.428,350.000,150.000,347.000,146.000,0,0,57,400,0.000,0.000,0.563,0.296,wears
1,1.011,293.653,541.899,294.000,555.000,0,0,57,400,0.000,0.103,0.542,0.331,dares
2,1.490,458.128,181.749,456.000,194.000,0,0,57,400,0.000,0.104,0.460,0.780,scanner
3,1.904,198.850,480.972,207.000,459.000,0,0,57,400,0.000,0.327,0.564,0.284,rich
4,2.737,531.926,266.917,576.000,280.000,1,0,57,400,17.974,0.388,0.584,1.462,grail
5,3.216,152.036,378.463,138.000,373.000,0,0,57,400,0.000,0.448,0.664,0.759,chair
6,3.757,547.964,378.463,544.000,383.000,0,0,57,400,0.000,0.286,0.627,0.353,quest
7,4.320,168.074,266.917,168.000,265.000,0,0,57,400,0.000,0.206,0.623,1.080,mouse
8,4.820,501.150,480.972,491.000,475.000,0,0,57,400,0.000,0.368,0.643,0.377,table
9,5.341,241.872,181.749,232.000,178.000,0,0,57,400,0.000,0.326,1.058,0.393,pokes
10,6.801,406.347,541.899,379.000,535.000,1,0,57,400,0.203,0.348,0.563,0.362,table
11,7.297,350.000,150.000,359.000,142.000,0,0,57,400,0.000,0.265
